Ticket Number,Project,Category,Severity,Priority,Task Type,Status,Ticket Owner,Assigned To,Summary,Date Submitted,Status Updated,Resolution Date,Target Date,Track Time,Latest Comments
T0500170,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,Incident,Reopened,Vig,Anand,"""Network Connectivity Issue""",06-12-2024 10:45,22-05-2025 20:54,21-05-2025 09:39,17-06-2025 12:19,1 D,"After conducting a thorough analysis of the issue, it was determined that the root cause of the problem was a misconfiguration in the database module. The incorrect database settings were causing the application to pull outdated data, leading to discrepancies in the reports generated by the system. To resolve this issue, we updated the database configuration to ensure that the application is pulling the most up-to-date information.

Furthermore, a code review was conducted, and it was discovered that there was a logic error in the data processing module. This error was causing incorrect calculations to be performed, resulting in inaccurate results being displayed in the reports. The code logic was corrected, and the necessary changes were pushed to production to ensure that the calculations are now accurate.

Finally, a thorough testing process was conducted in the UAT environment to verify that the issue has been fully resolved. After confirming that the reports are now displaying the correct data, the fix was applied and verified in the production environment. The issue has been successfully addressed, and the system is now functioning as expected in the production environment."
T0500173,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,General,New,Ali,Tan,Slow network causing disruptions in productivity and communication.,09-02-2025 19:23,19-05-2025 11:09,21-05-2025 14:01,22-06-2025 12:19,15 D,"Upon further investigation, it was determined that the issue stemmed from a misconfiguration in the networking module of the system. The root cause of the connectivity issue was traced back to a firewall rule that was blocking the communication between the server and the client machines. 

To resolve the issue, the firewall rule was updated to allow the necessary traffic to pass through. Additionally, the networking team conducted thorough testing in the UAT environment to ensure that the issue was fully resolved before implementing the fix in the production environment. 

After applying the fix and verifying the connectivity in the production environment, it has been confirmed that the issue has been successfully resolved. Users should now be able to access the system without any further interruptions. Thank you for your patience and cooperation throughout this process. 

Fix applied and verified in PROD."
T0500178,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,Support,On Hold,Anand,Chong,"""Network Connectivity Issue""",10-02-2025 14:51,19-05-2025 11:05,25-05-2025 01:25,02-06-2025 12:19,10 D,"Upon further investigation, we determined that the issue was caused by a misconfiguration in the database module. The incorrect database settings were leading to conflicts in the data retrieval process, resulting in the system error experienced by the user. To address this, we identified the root cause as a discrepancy in the database connection string, causing the application to pull incorrect data from the database.

To resolve this, we updated the database configuration settings to ensure the correct connection string is used for data retrieval. Additionally, we performed thorough testing in the UAT environment to verify that the issue has been successfully resolved. The updated configuration was then deployed to the PROD environment and monitored closely to confirm that the fix was applied successfully. 

Fix applied and verified in PROD."
T0500175,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,SIT Testing,Reopened,Siti,,Users are experiencing frequent crashes and slow loading times when trying to access course materials on the LMS.,05-12-2024 16:39,20-05-2025 09:29,20-05-2025 23:38,27-05-2025 12:19,45 D,"After further investigation, the issue was determined to be caused by a misconfiguration in the database connection settings within the application's backend module. The root cause of the issue was traced back to a recent update that inadvertently altered the database credentials, resulting in failed connections and subsequent data retrieval errors. 

To address this issue, the database connection settings were reverted to the correct configuration values as per the documented guidelines. Additionally, a thorough testing process was conducted in both the UAT and PROD environments to ensure that the issue was fully resolved and that no further disruptions would occur. 

Following the implementation of these changes, I can confirm that the fix has been successfully applied and verified in the PROD environment. The application is now functioning as expected without any further issues related to the database connection settings. Thank you for your patience and cooperation throughout this process."
T0500177,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,High,Enhancement,In Progress,Ali,Lebron,"""Network connectivity problems causing slow internet speeds and website timeouts for users.""",13-12-2024 20:01,20-05-2025 07:02,18-05-2025 14:13,19-06-2025 12:19,3 D,"Upon further investigation, it was determined that the issue was caused by a misconfiguration in the authentication module. The root cause of the problem was traced back to a recent update that introduced a bug in the code logic, resulting in failed authentication attempts for users. In order to resolve this issue, the authentication module was rolled back to the previous stable version.

After restoring the previous version of the authentication module, thorough testing was conducted in the UAT environment to ensure that the issue was indeed resolved. The testing results indicated that users were able to successfully authenticate without any errors. Following the successful testing in UAT, the fix was applied in the PROD environment.

The fix has been successfully applied and verified in the PROD environment. Users should now be able to authenticate without any issues. If any further issues arise, please feel free to submit a new support ticket. Thank you."
T0500179,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Change Request,Resolved,Lebron,Lebron,One user reported difficulty accessing course material due to frequent system crashes on the LMS.,23-04-2025 01:44,20-05-2025 18:16,22-05-2025 19:51,10-06-2025 12:19,2 D,"After further investigation, it was determined that the issue stemmed from a misconfiguration in the database module. The root cause of the issue was traced back to outdated connection settings in the database configuration file. This resulted in the application being unable to establish a connection to the database, causing the error messages reported by the user.

To resolve this issue, the database configuration file was updated with the correct connection settings. Additionally, a thorough testing was conducted in both the UAT and PROD environments to ensure that the changes were successful. After applying the fix, all tests passed without any errors, confirming that the issue has been successfully resolved.

In conclusion, the database module has been properly configured with the updated settings, and the application is now able to establish a connection to the database without any issues. The fix has been applied and verified in the PROD environment. Thank you for your patience."
T0500180,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Test Tracker,Closed,Anand,,"""Network Connectivity Issue""",16-05-2025 01:12,19-05-2025 05:37,20-05-2025 09:10,24-06-2025 12:19,15 D,"After further investigation, the issue was traced back to a misconfiguration in the database module, specifically in the table indexing. The root cause was identified as duplicate entries in the index columns, causing data retrieval errors during query execution. To resolve this issue, we performed a manual cleanup of the duplicate entries in the affected table and reindexed the database to ensure consistent performance. 

Additionally, code logic validation revealed a discrepancy in the data processing algorithm used for generating reports in the UAT environment. The root cause was a logic error in the conditional statements, leading to inaccurate calculations and discrepancies in the final output. To address this issue, we revised the code logic to accurately calculate the report data and performed thorough testing in the UAT environment to confirm the accuracy of the generated reports.

After applying the necessary fixes to both the database configuration and code logic, we have successfully verified the resolution in the production environment. The issue has been resolved, and all systems are now functioning as expected. Thank you for your patience and understanding as we worked to address this matter."
T0500183,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,Test Tracker,Resolved,Vig,Lebron,Ticket Summary: Software malfunction causing system errors and frequent crashes.,05-05-2025 11:22,19-05-2025 14:24,22-05-2025 22:57,30-05-2025 12:19,1 D,"After conducting a thorough investigation, it was determined that the root cause of the issue was a misconfiguration in the database module. This misconfiguration led to inconsistencies in the data retrieval process, causing the application to display incorrect information to the end-users. 

To resolve this issue, the database configuration was updated to ensure that the data retrieval process functions correctly. Additionally, a code review was conducted to verify that the logic handling the data retrieval was accurately implemented. 

After applying these changes, the issue was tested in the UAT environment to confirm that the data is now being retrieved accurately. The fix was then deployed to the PROD environment and verified to be functioning correctly. 

Fix applied and verified in PROD."
T0500182,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Query,New,Chong,Vig,Ticket Summary: Software malfunction causing system crashes and loss of data.,27-03-2025 15:37,17-05-2025 19:15,21-05-2025 15:30,09-06-2025 12:19,15 D,"After further investigation, the issue was identified to be caused by a misconfiguration in the network module of the server. The root cause was traced back to an incorrect VLAN setup, which was preventing the proper communication between the server and the client machines. To resolve this, the network configuration was adjusted to ensure the correct VLAN tagging and routing settings were in place.

Additionally, a review of the firewall rules revealed that certain ports necessary for the communication were blocked, leading to the connectivity issues experienced by the users. The firewall rules were updated accordingly to allow the necessary traffic to pass through, thereby restoring the connection between the server and the client machines.

Furthermore, it was found that a recent software update had inadvertently caused a conflict with the server's DNS settings, resulting in intermittent connection drops. The DNS configuration was adjusted to ensure the correct mapping of domain names to IP addresses, resolving the connectivity issues. 

The necessary fixes have been applied and verified in the production environment. Should there be any further issues, please don't hesitate to open a new support ticket. Thank you for your patience and understanding."
T0500181,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,Internal Products Dev,In Progress,Chong,Anand,"Ticket Summary: Software not functioning as expected, causing system errors and slow performance.",24-12-2024 11:52,23-05-2025 01:56,24-05-2025 02:36,20-06-2025 12:19,15 D,"After thorough technical analysis, we identified that the issue was caused by a misconfiguration in the XYZ module, specifically in the ABC configuration file. This misconfiguration was causing conflicting data to be pulled from the database, resulting in the incorrect output displayed to the end user. To address this issue, we made the necessary changes to the configuration file to ensure that the correct data is being accessed and displayed.

Additionally, we conducted further testing in both the UAT and PROD environments to confirm that the resolution steps taken have effectively resolved the issue. We verified that the correct data is now being pulled and displayed accurately to the end users. Furthermore, we reviewed the code logic related to the XYZ module to ensure that similar issues do not occur in the future.

In conclusion, the root cause of the issue has been identified and resolved by updating the configuration file in the XYZ module. The fix has been successfully applied and verified in the PROD environment, ensuring that users will no longer encounter the incorrect data display."
T0500186,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,Internal Products Dev,In Progress,Vig,,"""Network Connectivity Issue""",16-05-2025 10:53,20-05-2025 05:04,19-05-2025 14:18,07-06-2025 12:19,1 D,"After thorough investigation, we have identified that the issue was caused by a misconfiguration in the network settings of the database module. This misconfiguration was leading to connection timeouts and causing the application to crash intermittently.  To resolve this issue, we updated the network settings to ensure a stable and uninterrupted connection between the application and the database.

Additionally, we discovered a bug in the code logic of the frontend module that was not properly handling asynchronous data fetching requests. This was resulting in incomplete data being displayed to the end users. We fixed this issue by optimizing the code logic to correctly handle asynchronous data fetching, ensuring that the correct data is displayed in real-time.

Lastly, during our testing in the UAT environment, we found that the root cause of the performance degradation was due to a bottleneck in the server configuration. We optimized the server configurations by increasing the allocated resources, which significantly improved the performance of the application. The fix has been applied and verified in the production environment, and we have confirmed that the application is now running smoothly without any further issues."
T0500184,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,Incident,Resolved,Anand,Anand,"""Network Connectivity Issues""",30-04-2025 00:57,20-05-2025 11:11,22-05-2025 18:03,14-06-2025 12:19,45 D,"Upon further investigation, it was determined that the issue stemmed from a misconfigured firewall rule that was blocking traffic to the server hosting the application module. The root cause was traced back to a recent network upgrade that inadvertently resulted in the blocking of specific ports required for the module to communicate with the database. To address this issue, the firewall rule was adjusted to allow the necessary traffic, restoring full functionality to the affected module.

In addition, a review of the application's code logic revealed a potential flaw in the error handling mechanism that was not properly logging and alerting when the module failed to connect to the database. This oversight could have caused delays in identifying and resolving similar issues in the future. A code patch was implemented to improve error handling and ensure timely notifications in case of database connection failures.

After implementing the firewall rule adjustment and code patch, thorough testing was conducted in both UAT and PROD environments to validate the resolution. All tests were successful, and the module is now functioning as expected in both environments. The fix has been applied and verified in PROD, and the ticket is now closed. Thank you for your attention to this matter."
T0500187,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,Enhancement,Reopened,Vig,Chong,"""Network Connectivity Issues""",18-03-2025 05:08,21-05-2025 05:45,19-05-2025 07:22,04-06-2025 12:19,10 D,"After further investigation, it was determined that the issue was caused by a misconfiguration in the database module. The root cause of the problem was an incorrect setting in the database connection parameters, which was preventing the application from retrieving the necessary data. To resolve this issue, the database configuration was updated with the correct connection details, allowing the application to access the required data successfully.

Additionally, a code review was conducted to ensure that there were no other potential issues related to the database module. It was confirmed that the code logic for handling database connections and queries was properly implemented, and no other anomalies were found. The changes were then deployed to the UAT environment for further testing, and it was verified that the issue was no longer occurring.

Finally, the fix was applied to the production environment, and thorough testing was conducted to validate that the resolution was successful. All functionalities related to the database module were tested, and no further issues were identified. The fix has been applied and verified in the production environment, ensuring that the system is now running smoothly without any interruptions."
T0500188,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,General,New,Tan,Vig,Network connectivity problems causing slow performance and limited access for users.,03-01-2025 23:25,18-05-2025 13:19,23-05-2025 15:14,14-06-2025 12:19,20 D,"After conducting a thorough investigation into the reported issue, it was determined that the root cause was a misconfiguration in the database module, specifically with the indexing settings. This misconfiguration was causing slow query performance and resulting in the application timing out when retrieving large sets of data.

To resolve this issue, the database indexing settings were adjusted to optimize query performance. Additionally, we fine-tuned the application code logic to better handle large data sets, ensuring a more efficient retrieval process. These changes were thoroughly tested in our UAT environment to confirm that the issue has been successfully mitigated.

The fix has been applied and verified in the production environment. Users should now experience improved performance and no longer encounter timeouts when accessing large data sets. Thank you for bringing this issue to our attention, and we appreciate your patience as we worked to resolve it."
T0500190,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Bug,New,Tan,Vig,"""Network Connectivity Issues""",11-03-2025 12:02,22-05-2025 03:28,21-05-2025 01:52,10-06-2025 12:19,30 D,"After further investigation, we identified that the issue was due to a misconfiguration in the network firewall settings. The firewall was blocking the necessary traffic for the application to communicate with the database server. This caused the connection errors and timeouts experienced by the users. 

To resolve the issue, we adjusted the firewall rules to allow the required traffic between the application server and the database server. We also performed thorough testing in the UAT environment to ensure that the changes did not impact any other functionalities. 

After applying the fix, we verified that the issue was resolved in the production environment. Users should now be able to access the application without any connectivity issues. 

Fix applied and verified in PROD."
T0500185,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,Enhancement,New,Vig,Siti,Users are experiencing frequent crashes and slow loading times when accessing the LMS platform.,10-01-2025 04:38,22-05-2025 01:19,20-05-2025 20:08,12-06-2025 12:19,2 D,"After conducting a thorough technical analysis, it was determined that the root cause of the issue was a misconfiguration in the database module. The database connection string was incorrectly set up, causing the application to fail when attempting to retrieve data. To resolve this issue, the database configuration settings were corrected in the application code.

Furthermore, it was found that the code logic for handling database errors was not properly implemented, leading to the application crashing instead of displaying a relevant error message. This was addressed by implementing proper error handling mechanisms to gracefully handle database connection failures.

Lastly, the resolution steps were tested in the UAT environment to ensure that the changes were effective and did not introduce any new issues. Once verified, the fix was applied to the production environment, and thorough testing was conducted to confirm that the issue was successfully resolved. Fix applied and verified in PROD. Thank you."
T0500189,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Enhancement,In Progress,Lebron,Chong,"Error connecting to network, causing disruptions in service and data access.",04-03-2025 06:55,23-05-2025 13:52,18-05-2025 09:08,05-06-2025 12:19,3 D,"After conducting further investigation, it was identified that the issue stemmed from a misconfiguration in the network module settings. The root cause was traced back to a recent update that caused a conflict in the network configuration, leading to the connectivity issues reported in the ticket. To address this, the network settings were reverted back to their previous stable configuration, resolving the connectivity issues.

Additionally, a code review was performed on the backend system to ensure that there were no underlying code logic issues contributing to the problem. It was discovered that a recent code deployment had inadvertently introduced a bug that was impacting the network module's functionality. The code logic was corrected, and the updated code was successfully deployed to the production environment after thorough testing in the UAT environment.

In conclusion, the network connectivity issue has been successfully resolved with the reconfiguration of the network module settings and the correction of the code logic bug. The fix has been applied and verified in the production environment, ensuring that all systems are functioning as expected. Thank you for your patience and understanding throughout this process."
T0500191,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,Internal Products Dev,In Progress,Anand,Lebron,Users are experiencing issues with logging in to the LMS due to a password reset error.,09-12-2024 08:42,17-05-2025 16:07,22-05-2025 12:31,19-06-2025 12:19,20 D,"Based on our investigation, the issue was caused by a misconfigured firewall rule in the network module. The root cause was a recent update that inadvertently blocked access to the required servers for the application to function properly. To resolve this issue, we identified the specific rule blocking the traffic and adjusted it to allow the necessary connections for the application to communicate with the servers.

After making the configuration changes, we conducted thorough testing in the UAT environment to ensure that the application was able to successfully connect to the servers without any issues. We also monitored the application performance closely to verify that the changes did not introduce any unintended side effects. Once the testing was completed, we applied the fix in the production environment and confirmed that the application was functioning as expected.

The firewall rule has been successfully updated and verified in the PROD environment. The application should now be able to communicate with the necessary servers without any further disruptions. Thank you for your patience as we worked to resolve this issue."
T0500193,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Query,On Hold,Tan,Anand,"""Network Connectivity Issues at Corporate Headquarters""",13-01-2025 05:40,20-05-2025 21:13,19-05-2025 01:38,07-06-2025 12:19,30 D,"After further analysis, it was determined that the issue stemmed from a misconfigured network firewall rule, specifically affecting access to the database module. The root cause was traced back to a recent update in the firewall configuration that inadvertently blocked incoming connections to the database server. This resulted in the inability to retrieve data from the database, causing the application to malfunction.

To address this issue, the offending firewall rule was identified and corrected to allow the necessary traffic to pass through to the database module. Additionally, a thorough review of the firewall configuration was conducted to ensure that no other rules were causing similar disruptions to the application's functionality. After implementing the necessary changes, the application was successfully tested in the UAT environment, where it was confirmed that the issue was resolved.

Please note that the fix has been applied and verified in the PROD environment. Thank you for your patience and understanding as we worked to resolve this issue."
T0500176,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Demo Fix,On Hold,Tan,Ali,"""Printer Not Connecting to Network""",03-03-2025 12:03,17-05-2025 21:52,24-05-2025 03:10,13-06-2025 12:19,20 D,"After thorough analysis, it was determined that the root cause of the issue was a misconfiguration in the authentication module. The incorrect settings were causing the system to deny access to authorized users, leading to the reported error messages. To resolve this, the authentication configuration was corrected in the PROD environment by adjusting the permissions and updating the access control lists.

Additionally, some outdated code logic was identified in the user validation process, which was also contributing to the authentication failures. The logic was updated to ensure proper validation of user credentials and to prevent similar issues from occurring in the future. After testing the updated code in the UAT environment, it was successfully deployed to PROD without any issues.

All necessary steps have been taken to rectify the authentication issues reported in this ticket. The fix has been applied and verified in the PROD environment, and users should now be able to access the system without any further disruptions. Thank you for your patience and understanding."
T0500194,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Support,Resolved,Vig,Tan,Network connectivity problems leading to system downtime and data loss.,01-04-2025 16:58,22-05-2025 11:10,17-05-2025 14:32,15-06-2025 12:19,20 D,"After thorough investigation, we identified that the issue was caused by a misconfiguration in the network module settings. The root cause was traced back to an incorrect IP address entry in the configuration file, leading to a connection error between the client and server. To resolve this issue, we updated the IP address to the correct one and restarted the network module to apply the changes successfully.

Additionally, we conducted testing in both UAT and PROD environments to verify that the fix resolved the connectivity issue. In UAT, we simulated client-server communication and confirmed that the correct IP address was now being used. Subsequently, we monitored the PROD environment and observed stable and uninterrupted network connections, indicating that the fix had been successfully applied.

In conclusion, the network issue has been resolved with the correction of the misconfigured IP address in the network module settings. The fix has been applied and verified in the PROD environment, ensuring smooth and reliable network connectivity moving forward. Thank you for your patience and understanding."
T0500192,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,General,Resolved,Tan,Vig,User reported issue with the LMS not allowing them to access course materials on mobile devices.,21-02-2025 00:44,26-05-2025 00:55,26-05-2025 07:56,16-06-2025 12:19,45 D,"After conducting a thorough investigation, we identified that the root cause of the issue was a misconfiguration in the database connection settings within the application's configuration file. This led to a failure in establishing a connection to the database server, resulting in the application's inability to retrieve the necessary data. To address this, we updated the configuration settings to ensure the correct connection parameters were provided.

Furthermore, we also discovered a bug in the SQL query logic that was causing incorrect data retrieval from the database. By modifying the query to include the appropriate filtering conditions, we were able to retrieve the accurate data needed for the application to function correctly. After implementing these changes, we conducted thorough testing in both the UAT and PROD environments to validate the effectiveness of the solution.

In conclusion, the issue has been successfully resolved with the application now able to retrieve the necessary data from the database and function as intended. The fix has been applied and verified in the PROD environment, ensuring that users can seamlessly access the application without any disruptions. Thank you for your patience as we worked to address this issue."
T0500196,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,General,Resolved,Anand,Vig,The user reported that they were unable to access their course materials on the LMS due to frequent login errors.,02-05-2025 15:38,21-05-2025 17:35,24-05-2025 05:12,24-06-2025 12:19,15 D,"After conducting a thorough technical analysis, it was determined that the root cause of the issue was a misconfiguration in the database module. Specifically, the data tables were not properly linked, causing inconsistencies in the system. The resolution steps included adjusting the configuration settings to ensure proper data mapping and restoring the correct relationships between the tables.

Additionally, code logic was reviewed and updated to prevent similar issues from occurring in the future. The changes were tested in a UAT environment to confirm that the issue was successfully resolved before applying the fix to the production environment. The fix has been applied and verified in the production environment, and no further actions are required at this time.

The ticket is now closed, and users should no longer experience any disruptions related to this issue. Thank you for your patience and understanding. Fix applied and verified in PROD."
T0500199,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Low,Internal Products Dev,Resolved,Tan,Tan,"""Network Connectivity Issues""",12-03-2025 01:44,18-05-2025 10:41,18-05-2025 23:33,04-06-2025 12:19,30 D,"Based on our investigation, the issue was caused by a misconfiguration in the authentication module, specifically in the LDAP integration settings. The root cause was traced back to a recent update in the LDAP server settings, which led to a mismatch in the user attribute mappings. This caused the authentication process to fail for certain users when trying to access the system.

To resolve this issue, we adjusted the LDAP integration settings to align with the updated server configurations and made necessary changes to the user attribute mappings. After applying these changes, we conducted thorough testing in the UAT environment to ensure that the authentication process was functioning as expected. Upon successful validation, the fix was then deployed to the production environment.

The fix has been successfully applied and verified in the production environment. Users should now be able to authenticate without any issues. If you encounter any further issues or have any additional concerns, please don't hesitate to open a new ticket. Thank you for your patience and understanding."
T0500197,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,Enhancement,Reopened,Chong,Chong,Ticket Summary: Software malfunction causing system crashes and errors.,14-12-2024 18:25,17-05-2025 19:52,20-05-2025 00:08,11-06-2025 12:19,15 D,"After conducting a thorough investigation, we have identified the root cause of the issue to be a misconfiguration in the database module. The incorrect data mapping in the database configuration was causing inconsistencies in the data retrieval process, resulting in the system error reported. To resolve this issue, we have updated the database configuration to ensure accurate data mapping and alignment with the application logic.

In addition, we have also reviewed the code logic related to the data retrieval process and identified a bug that was contributing to the issue. The code logic has been revised to address the bug and prevent similar errors from occurring in the future. Furthermore, we have conducted testing in both UAT and PROD environments to validate the applied fixes and ensure they do not impact the system's performance.

With the updates to the database configuration and code logic, we have confirmed that the issue has been successfully resolved. The fix has been applied and verified in the PROD environment, and we have confirmed that the system is now functioning as expected. Should you encounter any further issues, please do not hesitate to submit a new support ticket for assistance."
T0500200,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Support,On Hold,Chong,Anand,User reported that they are unable to access course materials after logging into the system.,03-04-2025 05:30,20-05-2025 12:32,19-05-2025 11:24,02-06-2025 12:19,3 D,"After further investigation, it was determined that the root cause of the issue was a misconfiguration in the database connection settings within the XYZ module. This misconfiguration was causing the application to fail in retrieving data from the database, resulting in the error message that was reported. 

To resolve this issue, the configuration settings in the XYZ module were updated to accurately point to the correct database. Additionally, a thorough testing was conducted in a UAT environment to ensure that the issue was fully resolved. 

After applying the fix and verifying the functionality in the UAT environment, the changes were successfully promoted to the production environment. The issue has been resolved and should no longer occur. 

Fix applied and verified in PROD."
T0500195,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,Test Tracker,Resolved,Raj,Anand,"Ticket Summary: Software malfunction causing system errors and crashes, requiring immediate troubleshooting and resolution.",12-12-2024 07:07,20-05-2025 10:27,22-05-2025 06:54,11-06-2025 12:19,10 D,"After investigating the issue with the email notifications not being sent in the production environment, it was discovered that the SMTP server settings were incorrectly configured in the email module. This misconfiguration was causing the emails to fail to be delivered. The root cause of the issue was traced back to a recent update to the email module that had inadvertently overwritten the SMTP server settings.

To resolve the issue, the correct SMTP server settings were reconfigured in the email module and tested in the UAT environment. Once the settings were confirmed to be working as expected in UAT, the changes were then applied to the production environment. After the changes were implemented in production, a series of test emails were sent and successfully delivered, confirming that the issue has been resolved.

The email notifications are now functioning properly in the production environment. The fix has been applied and verified in PROD. Thank you for your patience as we worked to address this issue."
T0500198,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Internal Products Dev,Resolved,Tan,Anand,"Ticket Summary: Users experiencing software malfunction, unable to access key features and experiencing frequent crashes.",15-12-2024 14:05,25-05-2025 10:53,23-05-2025 13:15,02-06-2025 12:19,15 D,"Upon further investigation, it was determined that the issue stemmed from a misconfiguration in the database module. The root cause of the issue was found to be a conflicting database connection string, leading to errors in data retrieval and processing. To resolve this issue, the incorrect connection string was identified and updated with the correct one in the configuration files.

After implementing the configuration fix, we conducted thorough testing in the UAT environment to ensure the changes did not introduce any new issues. This included validating data retrieval, processing, and overall system functionality. Upon successful testing in UAT, the fix was applied in the production environment.

The fix has been successfully applied and verified in the production environment. We have confirmed that the issue has been resolved, and the system is now functioning as expected. Should you encounter any further issues, please do not hesitate to submit a new support ticket for further assistance."
T0500203,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Demo Fix,New,Siti,,"""Network Connectivity Issue""",21-12-2024 07:36,18-05-2025 20:07,22-05-2025 08:47,22-06-2025 12:19,2 D,"After conducting a thorough investigation, it was determined that the root cause of the issue was a misconfiguration in the database module. This misconfiguration was causing conflicts with the data retrieval process, leading to the error messages reported by the end-users. To resolve this issue, we updated the database configuration settings to ensure proper data retrieval and processing.

Additionally, we found a bug in the code logic of the application that was exacerbating the database misconfiguration issue. The bug was causing incorrect data manipulation, further complicating the retrieval process. We have fixed the code logic to ensure accurate data processing and retrieval moving forward.

To verify the resolution, we conducted thorough testing in the UAT environment to confirm that the database module and code logic changes resolved the issue. After successful testing, the fix was applied and verified in the PROD environment. The system is now functioning as expected without any errors.

Fix applied and verified in PROD."
T0500202,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Demo Fix,Resolved,Lebron,Siti,Users are reporting frequent crashes and slow loading times when accessing the online course materials.,18-02-2025 21:51,22-05-2025 01:16,24-05-2025 19:10,10-06-2025 12:19,30 D,"Upon further investigation, the issue was identified as a misconfiguration in the database module that was causing slow query performance. The root cause of the issue was traced back to an index that was not properly optimized for the data being queried. This resulted in excessive resource consumption and slower response times for users accessing the affected application.

To resolve this issue, the database index was reconfigured to better suit the query requirements and improve performance. Additionally, database query optimization techniques were applied to enhance the overall efficiency of the database module. These changes were thoroughly tested in both UAT and PROD environments to ensure that the issue was fully resolved.

The performance improvements have been successfully implemented and verified in the PROD environment. Users should now experience faster response times and improved overall system performance. Thank you for your patience as we worked to address this issue and please do not hesitate to reach out if any further assistance is needed."
T0500205,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,Demo Fix,Closed,Lebron,Ali,One user reported difficulty accessing course materials on the LMS due to frequent server errors.,13-03-2025 08:50,22-05-2025 06:13,22-05-2025 22:55,29-05-2025 12:19,2 D,"Based on the technical analysis of the issue reported, it was determined that the root cause of the problem was a misconfiguration in the database connection module. Upon further investigation, it was discovered that the credentials being used to access the database were outdated, causing the application to fail when attempting to retrieve data. 

To resolve this issue, the database connection module was updated with the correct credentials, ensuring that the application can now successfully retrieve data from the database without any errors. This configuration change was tested in both the UAT and PROD environments, and the issue was confirmed to be resolved in both instances.

In conclusion, the misconfiguration in the database connection module has been corrected, and the application is now functioning as expected in both UAT and PROD environments. The fix has been applied and verified in PROD, and the ticket can now be considered closed."
T0500201,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,Incident,Reopened,Anand,Tan,Users are experiencing frequent crashes and freezing when attempting to access course materials in the LMS.,05-12-2024 17:53,24-05-2025 09:10,23-05-2025 12:12,04-06-2025 12:19,30 D,"After conducting a thorough technical analysis, it was determined that the issue with slow network connectivity was caused by a misconfiguration in the routing module. The root cause of the problem was traced back to an outdated routing table entry, which was causing packets to take longer routes to reach their destination. To resolve this issue, the routing table was updated with the correct entry to optimize network traffic flow.

Additionally, it was discovered during testing in the UAT environment that certain firewall rules were blocking specific ports required for network communication. This was identified as the reason behind intermittent connectivity issues reported by users. To address this, the firewall rules were adjusted to allow traffic on the necessary ports, ensuring seamless communication between devices.

Finally, after implementing these changes and conducting further testing in the PROD environment, the issue with slow network connectivity has been successfully resolved. The updated routing table entry and firewall rule adjustments have significantly improved network performance, and users should now experience faster and more reliable network connections. The fix has been applied and verified in PROD, confirming that the issue has been fully resolved."
